Domain,Course Progression,Competency,Learning Objective,Enduring Understandings,Essential Questions,"Assessment Project
Check Bloom's & Webb's",Mastery Criteria / Success Metrics,UDL Accommodations,Activities
1. AI Leadership,Full Credential,"1.6. Ethics
Critical Thinking & Connection","I can use AI to help all of Creation thrive by improving lives, communities, and our environment.","1. AI reflects the biases of its training data.
2. We are responsible for the outputs we generate and share.
3. Technology should serve human flourishing, not diminish it.","1. Whose voice is missing from this AI output?
2. Is this use of AI honest and transparent?
3. What is the environmental cost of this query?","Analyze a generated text for potential bias or inaccuracies. Propose an ethical framework for AI use in your field.","1. Identification of potential bias (gender, cultural, etc.).
2. Transparency (disclosing AI use).
3. Critical thinking about source/attribution.","Engagement: Choice of ethical scenario relevant to personal industry or interests.
Representation: Case studies, video discussions, written ethical frameworks.
Action: Bias audit checklists, disclosure templates, group discussion guides.","1. Ask AI to generate an image of a 'CEO' and observe the gender/race bias.
2. Discuss: Should students use AI for essays?"
2. WordPress,Micro-Credential,2.1. WordPress Production,I can create professional web content using WordPress.,"1. WordPress powers over 40% of the web; it is the standard for content management.
2. The Block Editor (Gutenberg) allows for modular design without code.
3. Content structure (Headings, Paragraphs) matters for both readers and SEO.","1. Is this a Page (static) or a Post (timely)?
2. How do I make this layout engaging?
3. Is my content accessible?","Create a blog post with a specific structure (H1, H2, Image, Quote) and publish it.","1. Use of Blocks (Image, Quote, Columns).
2. Correct Heading hierarchy (H1 -> H2 -> H3).
3. Successful publication (View live link).","Engagement: Choice of post topic and layout style.
Representation: Video tutorials, written guides with screenshots, interactive block demos.
Action: Pre-built block patterns, drag-and-drop editing, keyboard navigation.","1. Create an 'About Me' page using a pre-made detailed layout pattern."
2. WordPress,Micro-Credential,"2.2. LLM Production",I can create professional work using LLM clients to accelerate content creation.,"1. AI can draft content 10x faster than humans.
2. AI content requires human editing regarding tone, fact-checking, and SEO.
3. The 'Human Sandwich' method ensures quality.","1. Does this sound like a robot wrote it?
2. Is the SEO strategy sound?
3. How do I prompt for a specific voice?","Use AI to generate a full blog post about a niche topic, edit it for human tone, and format it for WordPress.","1. Content is coherent and on-topic.
2. No obvious 'AI-isms' (e.g., 'In conclusion', 'delve', overly flowery language).
3. Correct use of keywords for SEO.","Engagement: Choice of content niche and target audience.
Representation: Before/after editing examples, video editing walkthroughs, AI-ism checklists.
Action: Copy-paste prompt templates, SEO keyword tools, tone adjustment prompts.","1. 'Tone Transfer': Take a dry AI paragraph and ask it to rewrite it 'witty and sarcastic'."
2. WordPress,Full Credential,2.3. UI Production,I can create effective User Interfaces for professional applications.,"1. Good design is invisible; it helps users achieve their goals without friction.
2. Hierarchy (Typography, Spacing) guides the eye.
3. Accessibility is a requirement, not a feature.","1. Where do I want the user to look first?
2. Is this text legible on a phone?
3. Can a screen reader navigate this page?","Critique a webpage design (screenshot provided or self-selected) based on Hierarchy, Contrast, and Alignment.","1. Correct identification of design principles (or lack thereof).
2. Suggestions for improvement are actionable.
3. Consideration of mobile/responsive layout.","Engagement: Choice of website to critique based on personal interest.
Representation: Annotated design examples, video critiques, written design principle guides.
Action: Screenshot annotation tools, design audit checklists, accessibility checkers.","1. 'The Squint Test': Squint at a page. What stands out? It should be the most important thing."
2. WordPress,Full Credential,"2.4. Full Stack Development
PHP, Python, & JavaScript","I can create Full Stack products using PHP, Python, or JavaScript including debugging my code & cleaning my data.","1. The web is built on HTML (Structure), CSS (Style), and JS (Interactivity).
2. WordPress runs on PHP (Server-side logic).
3. Viewing Source/Inspecting Elements reveals the matrix.","1. Is this a browser issue (Client) or a server issue (Backend)?
2. How do I customize something the theme doesn't support?
3. How do I debug a white screen of death?","Use the browser inspector to change the color of a button on a live site, take a screenshot, and explain the CSS used.","1. Correct identification of the element class/ID.
2. Valid CSS syntax (e.g., color: red;).
3. Understanding that client-side changes are temporary.","Engagement: Choice of website and element to modify.
Representation: Video inspector tutorials, written CSS guides, interactive code playgrounds.
Action: Copy-paste code snippets, browser extensions for CSS editing, AI code explanations.","1. 'Hack the Web': Go to Google.com. Change the button text to say your name using Inspector."
2. WordPress,Full Credential,2.5. AI Enablement,"I can help a team adopt, scale, and implement new AI tools to improve team outcomes.","1. Technology is easy; adoption behavior is hard.
2. Automating workflows (Zapier/Make) scales impact.
3. Integrating AI into the CMS brings intelligence to the content source.","1. Where is the friction in our workflow?
2. Can we automate this repetitive task?
3. How do I teach my team to use this tool?","Propose an automation workflow (e.g., 'When a form is submitted -> Email is sent -> Data adds to Sheet').","1. Workflow has a clear Trigger (Start).
2. Workflow has a clear Action (End).
3. Logic is sound and feasible.","Engagement: Choice of workflow scenario relevant to personal or team needs.
Representation: Workflow diagram examples, video automation tutorials, written logic guides.
Action: Pre-built Zap templates, drag-and-drop workflow builders, AI workflow suggestions.","1. Explore Zapier.com. Look at 'Popular Zaps' for inspiration."
3. Success Skills,Micro-Credential,3.1. Resume & Digital Portfolio,I can create a compelling personal brand to help me earn the opportunities I seek.,"1. A resume gets you the interview; the portfolio gets you the job.
2. Applicant Tracking Systems (ATS) scan for keywords before humans see your resume.
3. Your digital presence is your 24/7 advocate.","1. Does a stranger know what I can do in 6 seconds?
2. Is my portfolio accessible and updated?
3. Am I tailoring my resume to the specific job?",Produce or update your resume & digital portfolio using at least one AI tool.,"1. Resume is ATS-friendly (clean format, keywords).
2. Portfolio link is live and responsive.
3. Content focuses on outcomes/impact ('Increased X by Y%') rather than just duties.","Engagement: Choice of portfolio platform (LinkedIn, WordPress, GitHub, Notion).
Representation: Resume templates, video portfolio reviews, written ATS optimization guides.
Action: AI resume critique tools, keyword matching assistants, portfolio builders.","1. 'Roast my Resume': Ask AI to critique your resume against a specific job description."
3. Success Skills,Full Credential,3.2. Compensation & Living Wages,I can plan and advocate for Living Wages that help me realize my lifestyle goals.,"1. Your salary should reflect the value you provide, not the hours you work.
2. A 'Living Wage' is different from a 'Minimum Wage'.
3. Negotiation is a collaborative problem-solving process, not a battle.","1. What is the market rate for my skills?
2. What do I actually need to earn to live the life I want?
3. How do I ask for more without risking the offer?","Backwards plan your living wage requirements for today, 3 years, and 5 years from now to provide for a target lifestyle.","1. Accurate calculation of monthly expenses (Rent, Food, Savings).
2. Realistic research on market rates for target roles.
3. Clear 3-step plan to bridge the gap.","Engagement: Personalized budget based on individual location and lifestyle goals.
Representation: Budget calculators, video negotiation role-plays, written salary research guides.
Action: Pre-built budget templates, salary comparison tools, negotiation script generators.","1. Use the MIT Living Wage Calculator to find data for your area."
3. Success Skills,Full Credential,3.3. Networking & Advocacy,I can connect with professional peers and mentors and use those connections to realize my career goals.,"1. Your network is your net worth.
2. The best networking comes from 'Giving First' (adding value to others).
3. Weak ties (acquaintances) are often more valuable for job hunting than strong ties (close friends).","1. Who knows what I am capable of?
2. How can I be helpful to people in my industry?
3. How do I maintain relationships without being annoying?","Draft an outreach message to a potential mentor or peer using the 'Warm Email' structure.","1. Subject line is clear and relevant.
2. Message establishes common ground.
3. Ask is specific and low-friction (e.g., '15 min chat' not 'Give me a job').","Engagement: Choice of networking platform and outreach style.
Representation: Email templates, video networking tips, written relationship-building guides.
Action: LinkedIn connection tools, email draft assistants, follow-up reminder systems.","1. LinkedIn Audit: Connect with 5 people who have the job you want."
3. Success Skills,Full Credential,3.4. Healthy Conflict,I can navigate multiple types of conflict in healthy ways that help me realize positive outcomes.,"1. Conflict is inevitable and necessary for innovation.
2. Focus on the problem, not the person.
3. Psychological safety is the foundation of high-performing teams.","1. Am I seeking to understand, or just to win?
2. How does my body react to conflict?
3. What is the 'Shared Goal' we both agree on?","Script a response to a difficult workplace scenario using 'I' statements and the SBI (Situation-Behavior-Impact) model.","1. Uses specific, objective facts (Situation).
2. Describes behavior without labeling the person (Behavior).
3. Explains the consequence clearly (Impact).","Engagement: Choice of conflict scenario relevant to personal experience.
Representation: Role-play videos, written SBI examples, audio-guided de-escalation.
Action: Script templates, practice partner matching, feedback forms.","1. Roleplay: A teammate missed a deadline that affected your work. Address it."
3. Success Skills,Full Credential,3.5. Presenting & Storytelling,I can present myself and my work in ways that are clear and compelling.,"1. Facts tell, stories sell.
2. You are not the hero of the story; the audience is.
3. Visuals should support the speaker, not replace them.","1. What do I want the audience to feel, think, and do?
2. What is the 'Conflict' in this story?
3. Is this presentation simple enough?",Create a 3-slide pitch deck outline for a project or idea.,"1. Clear narrative arc (Problem -> Agitation -> Solution).
2. Minimal text on slides (Focus on visuals).
3. Strong Call to Action (CTA) at the end.","Engagement: Choice of presentation topic and audience.
Representation: Pitch deck examples, video presentation analysis, written storytelling frameworks.
Action: Slide templates, presentation timers, AI slide generators.","1. Watch a Steve Jobs keynote. Notice how little text is on the screen."
